#gd-step, abs-grad_likelihood, theta-error
1.09977776248 #=theta_est, theta_true= 1.2
1.18232025196 #=theta_est, theta_true= 1.2
1.20066930718 #=theta_est, theta_true= 1.2
1.20500800721 #=theta_est, theta_true= 1.2
1.20631889674 #=theta_est, theta_true= 1.2
1.206689135 #=theta_est, theta_true= 1.2
1.20622417592 #=theta_est, theta_true= 1.2
1.20570054671 #=theta_est, theta_true= 1.2
1.20837966815 #=theta_est, theta_true= 1.2
1.20601336314 #=theta_est, theta_true= 1.2
1.20739816407 #=theta_est, theta_true= 1.2
1.20733927445 #=theta_est, theta_true= 1.2
1.20731139578 #=theta_est, theta_true= 1.2
1.2073194854 #=theta_est, theta_true= 1.2
1.20739357249 #=theta_est, theta_true= 1.2
1.20602190741 #=theta_est, theta_true= 1.2
1.20843929316 #=theta_est, theta_true= 1.2
1.20664917355 #=theta_est, theta_true= 1.2
1.20583974285 #=theta_est, theta_true= 1.2
1.20656584245 #=theta_est, theta_true= 1.2
1.2062541479 #=theta_est, theta_true= 1.2
1.20755468723 #=theta_est, theta_true= 1.2
1.20832984082 #=theta_est, theta_true= 1.2
1.20756617871 #=theta_est, theta_true= 1.2
1.20870883626 #=theta_est, theta_true= 1.2
1.20666694518 #=theta_est, theta_true= 1.2
1.20718697436 #=theta_est, theta_true= 1.2
1.20870801787 #=theta_est, theta_true= 1.2
1.20720281351 #=theta_est, theta_true= 1.2
1.20905873905 #=theta_est, theta_true= 1.2
1.20732566453 #=theta_est, theta_true= 1.2
1.20738053261 #=theta_est, theta_true= 1.2
1.20774030557 #=theta_est, theta_true= 1.2
1.20925549554 #=theta_est, theta_true= 1.2
1.20649891206 #=theta_est, theta_true= 1.2
1.20856378595 #=theta_est, theta_true= 1.2
1.20572075238 #=theta_est, theta_true= 1.2
1.20649533589 #=theta_est, theta_true= 1.2
1.20489543695 #=theta_est, theta_true= 1.2
1.20727269802 #=theta_est, theta_true= 1.2
1.20593687812 #=theta_est, theta_true= 1.2
1.20603940406 #=theta_est, theta_true= 1.2
1.20877461683 #=theta_est, theta_true= 1.2
1.20678268172 #=theta_est, theta_true= 1.2
1.2058553594 #=theta_est, theta_true= 1.2
1.20743441646 #=theta_est, theta_true= 1.2
1.20741976796 #=theta_est, theta_true= 1.2
1.20692466465 #=theta_est, theta_true= 1.2
1.20546829599 #=theta_est, theta_true= 1.2
1.20645248379 #=theta_est, theta_true= 1.2
1.20664710115 #=theta_est, theta_true= 1.2
1.20774591649 #=theta_est, theta_true= 1.2
1.20685437141 #=theta_est, theta_true= 1.2
1.20587151372 #=theta_est, theta_true= 1.2
1.20652958658 #=theta_est, theta_true= 1.2
1.20615911751 #=theta_est, theta_true= 1.2
1.20564243679 #=theta_est, theta_true= 1.2
1.20556942452 #=theta_est, theta_true= 1.2
1.2069222005 #=theta_est, theta_true= 1.2
1.20900816178 #=theta_est, theta_true= 1.2
1.20907049378 #=theta_est, theta_true= 1.2
1.20680640893 #=theta_est, theta_true= 1.2
1.20729109373 #=theta_est, theta_true= 1.2
1.20498660587 #=theta_est, theta_true= 1.2
1.20498990222 #=theta_est, theta_true= 1.2
1.20680454973 #=theta_est, theta_true= 1.2
1.20678494909 #=theta_est, theta_true= 1.2
1.2081095835 #=theta_est, theta_true= 1.2
1.20802271122 #=theta_est, theta_true= 1.2
1.20752499776 #=theta_est, theta_true= 1.2
1.20835190388 #=theta_est, theta_true= 1.2
1.20901997499 #=theta_est, theta_true= 1.2
1.20676617963 #=theta_est, theta_true= 1.2
1.206732842 #=theta_est, theta_true= 1.2
1.20717307059 #=theta_est, theta_true= 1.2
1.20827106029 #=theta_est, theta_true= 1.2
1.20616189836 #=theta_est, theta_true= 1.2
1.20793740712 #=theta_est, theta_true= 1.2
1.20660775012 #=theta_est, theta_true= 1.2
1.20528143817 #=theta_est, theta_true= 1.2
1.20633750105 #=theta_est, theta_true= 1.2
1.20799225737 #=theta_est, theta_true= 1.2
1.20747476789 #=theta_est, theta_true= 1.2
1.20593909124 #=theta_est, theta_true= 1.2
1.20703548492 #=theta_est, theta_true= 1.2
1.20594123843 #=theta_est, theta_true= 1.2
1.20742510386 #=theta_est, theta_true= 1.2
1.2082422843 #=theta_est, theta_true= 1.2
1.20660459084 #=theta_est, theta_true= 1.2
1.20668166217 #=theta_est, theta_true= 1.2
1.20766701999 #=theta_est, theta_true= 1.2
1.20744390698 #=theta_est, theta_true= 1.2
1.2078270466 #=theta_est, theta_true= 1.2
1.20561302394 #=theta_est, theta_true= 1.2
1.2060965663 #=theta_est, theta_true= 1.2
1.2052535278 #=theta_est, theta_true= 1.2
1.205626848 #=theta_est, theta_true= 1.2
1.20513361127 #=theta_est, theta_true= 1.2
1.20590108605 #=theta_est, theta_true= 1.2
1.20606027994 #=theta_est, theta_true= 1.2
