#gd-step, abs-grad_likelihood, theta-error
0 0.167875 0.89832125
1 0.190375 0.8964175
2 0.139125 0.89502625
3 0.174125 0.893285
4 0.162875 0.89165625
5 0.162875 0.8900275
6 0.192875 0.88809875
7 0.184125 0.8862575
8 0.197875 0.88427875
9 0.167875 0.8826
10 0.182875 0.88077125
11 0.184125 0.87893
12 0.194125 0.87698875
13 0.172875 0.87526
14 0.169125 0.87356875
15 0.177875 0.87179
16 0.189125 0.86989875
17 0.182875 0.86807
18 0.161625 0.86645375
19 0.180375 0.86465
20 0.185375 0.86279625
21 0.189125 0.860905
22 0.180375 0.85910125
23 0.164125 0.85746
24 0.166625 0.85579375
25 0.160375 0.85419
26 0.177875 0.85241125
27 0.190375 0.8505075
28 0.181625 0.84869125
29 0.172875 0.8469625
30 0.179125 0.84517125
31 0.190375 0.8432675
32 0.170375 0.84156375
33 0.162875 0.839935
34 0.159125 0.83834375
35 0.150375 0.83684
36 0.197875 0.83486125
37 0.186625 0.832995
38 0.172875 0.83126625
39 0.194125 0.829325
40 0.186625 0.82745875
41 0.151625 0.8259425
42 0.177875 0.82416375
43 0.192875 0.822235
44 0.187875 0.82035625
45 0.170375 0.8186525
46 0.180375 0.81684875
47 0.185375 0.814995
48 0.165375 0.81334125
49 0.174125 0.8116
50 0.160375 0.80999625
51 0.167875 0.8083175
52 0.155375 0.80676375
53 0.190375 0.80486
54 0.186625 0.80299375
55 0.187875 0.801115
56 0.181625 0.79929875
57 0.187875 0.79742
58 0.190375 0.79551625
59 0.170375 0.7938125
60 0.182875 0.79198375
61 0.150375 0.79048
62 0.150375 0.78897625
63 0.181625 0.78716
64 0.160375 0.78555625
65 0.154125 0.784015
66 0.172875 0.78228625
67 0.137875 0.7809075
68 0.181625 0.77909125
69 0.166625 0.777425
70 0.182875 0.77559625
71 0.181625 0.77378
72 0.145375 0.77232625
73 0.166625 0.77066
74 0.187875 0.76878125
75 0.159125 0.76719
76 0.157875 0.76561125
77 0.157875 0.7640325
78 0.165375 0.76237875
79 0.137875 0.761
80 0.157875 0.75942125
81 0.175375 0.7576675
82 0.187875 0.75578875
83 0.160375 0.754185
84 0.150375 0.75268125
85 0.180375 0.7508775
86 0.174125 0.74913625
87 0.149125 0.747645
88 0.174125 0.74590375
89 0.155375 0.74435
90 0.185375 0.74249625
91 0.164125 0.740855
92 0.179125 0.73906375
93 0.159125 0.7374725
94 0.170375 0.73576875
95 0.150375 0.734265
96 0.172875 0.73253625
97 0.166625 0.73087
98 0.154125 0.72932875
99 0.157875 0.72775
100 0.124125 0.72650875
101 0.170375 0.724805
102 0.176625 0.72303875
103 0.161625 0.7214225
104 0.176625 0.71965625
105 0.154125 0.718115
106 0.131625 0.71679875
107 0.170375 0.715095
108 0.169125 0.71340375
109 0.155375 0.71185
110 0.187875 0.70997125
111 0.165375 0.7083175
112 0.161625 0.70670125
113 0.167875 0.7050225
114 0.156625 0.70345625
115 0.160375 0.7018525
116 0.167875 0.70017375
117 0.181625 0.6983575
118 0.157875 0.69677875
119 0.175375 0.695025
120 0.185375 0.69317125
121 0.146625 0.691705
122 0.144125 0.69026375
123 0.156625 0.6886975
124 0.137875 0.68731875
125 0.147875 0.68584
126 0.175375 0.68408625
127 0.151625 0.68257
128 0.167875 0.68089125
129 0.169125 0.6792
130 0.175375 0.67744625
131 0.167875 0.6757675
132 0.172875 0.67403875
133 0.171625 0.6723225
134 0.167875 0.67064375
135 0.106625 0.6695775
136 0.154125 0.66803625
137 0.152875 0.6665075
138 0.151625 0.66499125
139 0.149125 0.6635
140 0.155375 0.66194625
141 0.164125 0.660305
142 0.177875 0.65852625
143 0.156625 0.65696
144 0.174125 0.65521875
145 0.152875 0.65369
146 0.126625 0.65242375
147 0.121625 0.6512075
148 0.157875 0.64962875
149 0.149125 0.6481375
150 0.156625 0.64657125
151 0.139125 0.64518
152 0.152875 0.64365125
153 0.106625 0.642585
154 0.152875 0.64105625
155 0.159125 0.639465
156 0.164125 0.63782375
157 0.125375 0.63657
158 0.151625 0.63505375
159 0.129125 0.6337625
160 0.160375 0.63215875
161 0.155375 0.630605
162 0.157875 0.62902625
163 0.164125 0.627385
164 0.165375 0.62573125
165 0.135375 0.6243775
166 0.145375 0.62292375
167 0.165375 0.62127
168 0.171625 0.61955375
169 0.137875 0.618175
170 0.132875 0.61684625
171 0.147875 0.6153675
172 0.099125 0.61437625
173 0.160375 0.6127725
174 0.142875 0.61134375
175 0.166625 0.6096775
176 0.155375 0.60812375
177 0.127875 0.606845
178 0.166625 0.60517875
179 0.152875 0.60365
180 0.119125 0.60245875
181 0.150375 0.600955
182 0.146625 0.59948875
183 0.146625 0.5980225
184 0.145375 0.59656875
185 0.157875 0.59499
186 0.169125 0.59329875
187 0.179125 0.5915075
188 0.147875 0.59002875
189 0.164125 0.5883875
190 0.140375 0.58698375
191 0.160375 0.58538
192 0.141625 0.58396375
193 0.154125 0.5824225
194 0.141625 0.58100625
195 0.150375 0.5795025
196 0.141625 0.57808625
197 0.151625 0.57657
198 0.134125 0.57522875
199 0.161625 0.5736125
200 0.150375 0.57210875
201 0.165375 0.570455
202 0.132875 0.56912625
203 0.134125 0.567785
204 0.129125 0.56649375
205 0.146625 0.5650275
206 0.161625 0.56341125
207 0.156625 0.561845
208 0.147875 0.56036625
209 0.132875 0.5590375
210 0.141625 0.55762125
211 0.111625 0.556505
212 0.159125 0.55491375
213 0.144125 0.5534725
214 0.150375 0.55196875
215 0.141625 0.5505525
216 0.126625 0.54928625
217 0.166625 0.54762
218 0.159125 0.54602875
219 0.134125 0.5446875
220 0.156625 0.54312125
221 0.142875 0.5416925
222 0.140375 0.54028875
