#gd-step, abs-grad_likelihood, theta-error
0 0.13925 0.39986075
1 0.14675 0.399714
2 0.12925 0.39958475
3 0.13675 0.399448
4 0.13675 0.39931125
5 0.11175 0.3991995
6 0.13425 0.39906525
7 0.12925 0.398936
8 0.11925 0.39881675
9 0.13175 0.398685
10 0.11425 0.39857075
11 0.11175 0.398459
12 0.10675 0.39835225
13 0.12425 0.398228
14 0.13925 0.39808875
15 0.15675 0.397932
16 0.14925 0.39778275
17 0.12925 0.3976535
18 0.13425 0.39751925
19 0.13675 0.3973825
20 0.14425 0.39723825
21 0.12175 0.3971165
22 0.11425 0.39700225
23 0.15425 0.396848
24 0.14675 0.39670125
25 0.12675 0.3965745
26 0.13425 0.39644025
27 0.13675 0.3963035
28 0.14175 0.39616175
29 0.14425 0.3960175
30 0.12425 0.39589325
31 0.11675 0.3957765
32 0.15175 0.39562475
33 0.13675 0.395488
34 0.12425 0.39536375
35 0.14425 0.3952195
36 0.12425 0.39509525
37 0.10425 0.394991
38 0.16425 0.39482675
39 0.11925 0.3947075
40 0.10925 0.39459825
41 0.12175 0.3944765
42 0.13175 0.39434475
43 0.17675 0.394168
44 0.12925 0.39403875
45 0.14425 0.3938945
46 0.13675 0.39375775
47 0.12675 0.393631
48 0.12925 0.39350175
49 0.13675 0.393365
50 0.13675 0.39322825
51 0.12425 0.393104
52 0.13175 0.39297225
53 0.11425 0.392858
54 0.13925 0.39271875
55 0.14675 0.392572
56 0.13175 0.39244025
57 0.12175 0.3923185
58 0.13425 0.39218425
59 0.14675 0.3920375
60 0.10925 0.39192825
61 0.14675 0.3917815
62 0.12425 0.39165725
63 0.12425 0.391533
64 0.12425 0.39140875
65 0.12425 0.3912845
66 0.11675 0.39116775
67 0.12425 0.3910435
68 0.14675 0.39089675
69 0.12675 0.39077
70 0.09425 0.39067575
71 0.12675 0.390549
72 0.11675 0.39043225
73 0.11175 0.3903205
74 0.10175 0.39021875
75 0.13425 0.3900845
76 0.09175 0.38999275
77 0.13675 0.389856
78 0.13675 0.38971925
79 0.15675 0.3895625
80 0.09925 0.38946325
81 0.13175 0.3893315
82 0.13925 0.38919225
83 0.13675 0.3890555
84 0.13675 0.38891875
85 0.13175 0.388787
86 0.13675 0.38865025
87 0.11425 0.388536
88 0.11425 0.38842175
89 0.11675 0.388305
90 0.12425 0.38818075
91 0.13925 0.3880415
92 0.12175 0.38791975
93 0.15425 0.3877655
94 0.10175 0.38766375
95 0.09425 0.3875695
96 0.11175 0.38745775
97 0.12175 0.387336
98 0.14175 0.38719425
99 0.11925 0.387075
100 0.14175 0.38693325
101 0.14175 0.3867915
102 0.12175 0.38666975
103 0.15675 0.386513
104 0.14425 0.38636875
105 0.14425 0.3862245
106 0.13175 0.38609275
107 0.10675 0.385986
108 0.11175 0.38587425
109 0.11175 0.3857625
110 0.10175 0.38566075
111 0.10175 0.385559
112 0.14425 0.38541475
113 0.09675 0.385318
114 0.13925 0.38517875
115 0.15425 0.3850245
116 0.14425 0.38488025
117 0.12925 0.384751
118 0.11675 0.38463425
119 0.13925 0.384495
120 0.15425 0.38434075
121 0.13675 0.384204
122 0.14425 0.38405975
123 0.16675 0.383893
124 0.13675 0.38375625
125 0.11675 0.3836395
126 0.14175 0.38349775
127 0.11425 0.3833835
128 0.12425 0.38325925
129 0.12425 0.383135
130 0.12425 0.38301075
131 0.12675 0.382884
132 0.10175 0.38278225
133 0.11925 0.382663
134 0.08925 0.38257375
135 0.11175 0.382462
136 0.13925 0.38232275
137 0.12425 0.3821985
138 0.13925 0.38205925
139 0.10925 0.38195
140 0.14675 0.38180325
141 0.13175 0.3816715
142 0.12925 0.38154225
143 0.12675 0.3814155
144 0.12425 0.38129125
145 0.13175 0.3811595
146 0.10425 0.38105525
147 0.13675 0.3809185
148 0.10925 0.38080925
149 0.12925 0.38068
150 0.13925 0.38054075
151 0.13675 0.380404
152 0.13675 0.38026725
153 0.13175 0.3801355
154 0.14425 0.37999125
155 0.14675 0.3798445
156 0.11425 0.37973025
157 0.13175 0.3795985
158 0.11675 0.37948175
159 0.12425 0.3793575
160 0.13925 0.37921825
161 0.11175 0.3791065
162 0.13175 0.37897475
163 0.13925 0.3788355
164 0.11675 0.37871875
165 0.11925 0.3785995
166 0.15425 0.37844525
167 0.11425 0.378331
168 0.14175 0.37818925
169 0.12425 0.378065
170 0.13425 0.37793075
171 0.12175 0.377809
172 0.12925 0.37767975
173 0.12175 0.377558
174 0.15175 0.37740625
175 0.13175 0.3772745
176 0.10925 0.37716525
177 0.14925 0.377016
178 0.10925 0.37690675
179 0.10925 0.3767975
180 0.12925 0.37666825
181 0.11925 0.376549
182 0.12675 0.37642225
183 0.10925 0.376313
184 0.11425 0.37619875
185 0.11925 0.3760795
186 0.14925 0.37593025
187 0.13675 0.3757935
188 0.12175 0.37567175
189 0.12425 0.3755475
190 0.12675 0.37542075
191 0.13675 0.375284
192 0.12675 0.37515725
193 0.13425 0.375023
194 0.14175 0.37488125
195 0.10425 0.374777
196 0.12925 0.37464775
197 0.12675 0.374521
198 0.13425 0.37438675
199 0.10425 0.3742825
200 0.10675 0.37417575
201 0.13675 0.374039
202 0.12425 0.37391475
203 0.11675 0.373798
204 0.12175 0.37367625
205 0.10675 0.3735695
206 0.14925 0.37342025
207 0.12175 0.3732985
208 0.10425 0.37319425
209 0.10175 0.3730925
210 0.14175 0.37295075
211 0.12425 0.3728265
212 0.10425 0.37272225
213 0.13925 0.372583
214 0.09925 0.37248375
215 0.12175 0.372362
216 0.10925 0.37225275
217 0.12425 0.3721285
218 0.11925 0.37200925
219 0.12175 0.3718875
220 0.12175 0.37176575
221 0.14175 0.371624
222 0.09675 0.37152725
223 0.11675 0.3714105
224 0.13925 0.37127125
225 0.12925 0.371142
226 0.14175 0.37100025
227 0.10425 0.370896
228 0.12175 0.37077425
229 0.09675 0.3706775
230 0.11675 0.37056075
231 0.11675 0.370444
232 0.11925 0.37032475
233 0.11675 0.370208
234 0.12925 0.37007875
235 0.14175 0.369937
236 0.10675 0.36983025
237 0.13925 0.369691
238 0.11925 0.36957175
239 0.13425 0.3694375
240 0.10425 0.36933325
241 0.12925 0.369204
242 0.11925 0.36908475
243 0.13925 0.3689455
244 0.13175 0.36881375
245 0.13175 0.368682
246 0.14425 0.36853775
247 0.11425 0.3684235
248 0.10175 0.36832175
249 0.12675 0.368195
250 0.14175 0.36805325
251 0.12925 0.367924
252 0.13175 0.36779225
253 0.10425 0.367688
254 0.12425 0.36756375
255 0.11425 0.3674495
256 0.12425 0.36732525
257 0.12425 0.367201
258 0.11675 0.36708425
259 0.12425 0.36696
260 0.11425 0.36684575
261 0.11675 0.366729
262 0.12925 0.36659975
263 0.11175 0.366488
264 0.10675 0.36638125
265 0.12675 0.3662545
266 0.11175 0.36614275
267 0.13425 0.3660085
268 0.15175 0.36585675
269 0.15425 0.3657025
270 0.13175 0.36557075
271 0.13675 0.365434
272 0.11425 0.36531975
273 0.11675 0.365203
274 0.13675 0.36506625
275 0.10675 0.3649595
276 0.09675 0.36486275
277 0.12175 0.364741
278 0.13175 0.36460925
279 0.11925 0.36449
280 0.11925 0.36437075
281 0.07425 0.3642965
282 0.14925 0.36414725
283 0.10925 0.364038
284 0.11175 0.36392625
285 0.08175 0.3638445
286 0.11425 0.36373025
287 0.10925 0.363621
288 0.11175 0.36350925
289 0.14425 0.363365
290 0.09425 0.36327075
291 0.13425 0.3631365
292 0.10675 0.36302975
293 0.12175 0.362908
294 0.12675 0.36278125
295 0.14675 0.3626345
296 0.11925 0.36251525
297 0.11925 0.362396
298 0.12675 0.36226925
299 0.12425 0.362145
300 0.11425 0.36203075
301 0.10175 0.361929
302 0.08925 0.36183975
303 0.10925 0.3617305
304 0.11425 0.36161625
305 0.14175 0.3614745
306 0.10675 0.36136775
307 0.12675 0.361241
308 0.13675 0.36110425
309 0.13175 0.3609725
310 0.12175 0.36085075
311 0.13175 0.360719
312 0.13175 0.36058725
313 0.11425 0.360473
314 0.09675 0.36037625
315 0.12175 0.3602545
316 0.12175 0.36013275
317 0.12675 0.360006
318 0.11175 0.35989425
319 0.13925 0.359755
320 0.12675 0.35962825
321 0.13925 0.359489
322 0.09925 0.35938975
323 0.10675 0.359283
324 0.11675 0.35916625
325 0.11425 0.359052
326 0.12675 0.35892525
327 0.11675 0.3588085
328 0.12675 0.35868175
329 0.11175 0.35857
330 0.11675 0.35845325
331 0.11175 0.3583415
332 0.14675 0.35819475
333 0.13175 0.358063
334 0.12175 0.35794125
335 0.11175 0.3578295
336 0.09675 0.35773275
337 0.10425 0.3576285
338 0.10425 0.35752425
339 0.10675 0.3574175
340 0.13175 0.35728575
341 0.12175 0.357164
342 0.11425 0.35704975
343 0.11925 0.3569305
344 0.10675 0.35682375
345 0.14675 0.356677
346 0.14675 0.35653025
347 0.10675 0.3564235
348 0.15175 0.35627175
349 0.09675 0.356175
350 0.13925 0.35603575
351 0.11675 0.355919
352 0.10925 0.35580975
353 0.09175 0.355718
354 0.12425 0.35559375
355 0.13925 0.3554545
356 0.12675 0.35532775
357 0.15175 0.355176
358 0.12925 0.35504675
359 0.11175 0.354935
360 0.12675 0.35480825
361 0.11925 0.354689
362 0.13425 0.35455475
363 0.13175 0.354423
364 0.13425 0.35428875
365 0.13175 0.354157
366 0.11675 0.35404025
367 0.11175 0.3539285
368 0.11175 0.35381675
369 0.11675 0.3537
370 0.08925 0.35361075
371 0.10925 0.3535015
372 0.12925 0.35337225
373 0.12675 0.3532455
