#gd-step, abs-grad_likelihood, theta-error
0 0.13925 0.3986075
1 0.14675 0.39714
2 0.12925 0.3958475
3 0.13675 0.39448
4 0.13675 0.3931125
5 0.11425 0.39197
6 0.12925 0.3906775
7 0.12925 0.389385
8 0.11925 0.3881925
9 0.12675 0.386925
10 0.11425 0.3857825
11 0.10925 0.38469
12 0.10675 0.3836225
13 0.11175 0.382505
14 0.13925 0.3811125
15 0.15675 0.379545
16 0.14675 0.3780775
17 0.12675 0.37681
18 0.14175 0.3753925
19 0.12925 0.3741
20 0.13675 0.3727325
21 0.11925 0.37154
22 0.11925 0.3703475
23 0.14425 0.368905
24 0.14425 0.3674625
25 0.11925 0.36627
26 0.12425 0.3650275
27 0.12675 0.36376
28 0.13675 0.3623925
29 0.13425 0.36105
30 0.12175 0.3598325
31 0.10175 0.358815
32 0.14675 0.3573475
33 0.13175 0.35603
34 0.11175 0.3549125
35 0.13425 0.35357
36 0.10925 0.3524775
37 0.09175 0.35156
38 0.15925 0.3499675
39 0.12175 0.34875
40 0.08175 0.3479325
41 0.11925 0.34674
42 0.12425 0.3454975
43 0.16425 0.343855
44 0.12175 0.3426375
45 0.13425 0.341295
46 0.12925 0.3400025
47 0.12425 0.33876
48 0.12425 0.3375175
49 0.11925 0.336325
50 0.12675 0.3350575
51 0.11175 0.33394
52 0.12675 0.3326725
53 0.10175 0.331655
54 0.12175 0.3304375
55 0.13425 0.329095
56 0.12925 0.3278025
57 0.10675 0.326735
58 0.09675 0.3257675
59 0.12425 0.324525
60 0.10425 0.3234825
61 0.11925 0.32229
62 0.11175 0.3211725
63 0.06925 0.32048
64 0.12425 0.3192375
65 0.11175 0.31812
66 0.11925 0.3169275
67 0.08675 0.31606
68 0.12675 0.3147925
69 0.10675 0.313725
70 0.07925 0.3129325
71 0.11675 0.311765
72 0.08675 0.3108975
73 0.11175 0.30978
74 0.09925 0.3087875
75 0.12175 0.30757
76 0.08925 0.3066775
77 0.10175 0.30566
78 0.12925 0.3043675
79 0.14925 0.302875
