#diff_E diff_E1_nin diff_E2_nin
-2.0 46.2183956303 -184.27507974
-1.98 44.4120135242 -177.049510391
-1.96 42.6764610829 -170.107258032
-1.94 41.0089610523 -163.437213576
-1.92 39.4068450765 -157.028703531
-1.9 37.8675494282 -150.871472913
-1.88 36.388610906 -144.955668839
-1.8599999999999999 34.9676628927 -139.271824761
-1.84 33.6024315683 -133.810845315
-1.82 32.2907322714 -128.56399177
-1.8 31.0304660034 -123.52286804
-1.78 29.8196160693 -118.679407252
-1.76 28.6562448509 -114.025858835
-1.74 27.538490706 -109.554776118
-1.72 26.4645649896 -105.259004417
-1.7 25.4327491914 -101.131669579
-1.68 24.441392186 -97.1661669886
-1.66 23.4889075906 -93.356150995
-1.6400000000000001 22.5737712268 -89.6955247601
-1.62 21.694518681 -86.1784305009
-1.6 20.8497429617 -82.7992401162
-1.58 20.0380922474 -79.5525461804
-1.56 19.2582677239 -76.4331532907
-1.54 18.5090215055 -73.4360697528
-1.52 17.7891546385 -70.5564995937
-1.5 17.0975151822 -67.7898348869
-1.48 16.432996366 -65.1316483784
-1.46 15.7945348181 -62.5776864029
-1.44 15.1811088636 -60.1238620762
-1.42 14.5917368903 -57.766248756
-1.4 14.0254757772 -55.5010737578
-1.38 13.4814193857 -53.3247123186
-1.3599999999999999 12.9586971096 -51.2336817956
-1.3399999999999999 12.4564724817 -49.2246360939
-1.3199999999999998 11.9739418353 -47.2943603118
-1.2999999999999998 11.5103330186 -45.4397655962
-1.28 11.0649041586 -43.6578841999
-1.26 10.636942474 -41.9458647324
-1.24 10.2257631348 -40.3009675975
-1.22 9.83070816633 -38.7205606087
-1.2 9.45114539642 -37.2021147777
-1.18 9.08646744363 -35.7432002673
-1.1600000000000001 8.73609074542 -34.3414825029
-1.1400000000000001 8.39945462434 -32.9947184371
-1.12 8.07602039077 -31.70075296
-1.1 7.76527048093 -30.4575154508
-1.08 7.46670762868 -29.2630164643
-1.06 7.17985406974 -28.1153445473
-1.04 6.90425077723 -27.0126631798
-1.02 6.63945672708 -25.9532078364
-1.0 6.38504819232 -24.9352831625
-0.98 6.14061806501 -23.9572602615
-0.96 5.90577520481 -23.0175740881
-0.94 5.68014381304 -22.1147209439
-0.9199999999999999 5.46336283132 -21.2472560712
-0.8999999999999999 5.25508536385 -20.4137913413
-0.8799999999999999 5.05497812223 -19.6129930326
-0.8599999999999999 4.8627208922 -18.8435796972
-0.8400000000000001 4.67800602116 -18.1043201094
-0.8200000000000001 4.50053792591 -17.3940312963
-0.8 4.33003261964 -16.7115766442
-0.78 4.16621725749 -16.05586408
-0.76 4.00882969991 -15.4258443238
-0.74 3.85761809326 -14.8205092096
-0.72 3.71234046668 -14.2388900719
-0.7 3.572764345 -13.6800561962
-0.6799999999999999 3.43866637662 -13.143113329
-0.6599999999999999 3.3098319762 -12.627202247
-0.6399999999999999 3.18605498122 -12.1314973827
-0.6199999999999999 3.06713732206 -11.6552055023
-0.5999999999999999 2.9528887051 -11.1975644373
