#gd-step, abs-grad_likelihood, theta-error
0 67.6588915845 0.223411084155
1 10.6179929598 0.117231154556
2 5.43803113377 0.0628508432187
3 2.89462466933 0.0339045965254
4 1.55665938181 0.0183380027073
5 0.83957663887 0.00994223631861
6 0.453203672952 0.0054101995891
7 0.244699502861 0.00296320456048
8 0.132130724003 0.00164189732045
9 0.0713482947634 0.000928414372817
10 0.0385270734924 0.000543143637892
11 0.0208041135123 0.00033510250277
12 0.0112339537762 0.000222762965008
13 0.00606619149587 0.000162101050049
14 0.0032756660402 0.000129344389647
15 0.00176881790681 0.000111656210579
16 0.000955139126167 0.000102104819317
17 0.00051576295556 9.69471897612e-05
18 0.000278505422985 9.41621355313e-05
19 0.000150389379087 9.26582417404e-05
20 8.12083481752e-05 9.18461582586e-05
21 4.38514730805e-05 9.14076435279e-05
22 2.36792365961e-05 9.11708511619e-05
23 1.27864860486e-05 9.10429863015e-05
24 6.90453944757e-06 9.0973940907e-05
25 3.72836328659e-06 9.09366572741e-05
26 2.01326867869e-06 9.09165245873e-05
27 1.08713940108e-06 9.09056531933e-05
28 5.87041435152e-07 9.08997827789e-05
29 3.169948897e-07 9.08966128299e-05
30 1.71173209467e-07 9.08949010978e-05
31 9.24313644648e-08 9.08939767841e-05
32 4.99117703249e-08 9.08934776664e-05
33 2.69516922762e-08 9.08932081496e-05
34 1.45536315649e-08 9.08930626133e-05
35 7.85879144031e-09 9.08929840253e-05
36 4.24357762032e-09 9.08929415895e-05
37 2.29144981164e-09 9.08929186749e-05
38 1.23735155727e-09 9.08929063015e-05
39 6.68194746414e-10 9.08928996195e-05
40 3.60802244455e-10 9.08928960115e-05
41 1.94805246885e-10 9.08928940635e-05
42 1.05219065016e-10 9.08928930112e-05
43 5.6894309477e-11 9.08928924424e-05
44 3.07060553162e-11 9.08928921353e-05
45 1.65523998774e-11 9.08928919698e-05
46 8.95618713415e-12 9.08928918804e-05
47 4.81477302472e-12 9.08928918322e-05
48 2.51719967537e-12 9.08928918071e-05
49 1.40778322333e-12 9.08928917931e-05
50 7.75283730547e-13 9.08928917853e-05
51 4.24436858992e-13 9.08928917811e-05
52 1.70276575062e-13 9.08928917793e-05
53 1.2522351156e-13 9.0892891778e-05
54 7.49217399232e-14 9.08928917773e-05
55 6.44834763364e-14 9.08928917767e-05
56 2.54742182904e-14 9.08928917764e-05
57 4.33704627767e-15 9.08928917764e-05
58 4.33704627767e-15 9.08928917764e-05
59 4.33704627767e-15 9.08928917764e-05
60 4.33704627767e-15 9.08928917764e-05
61 4.33704627767e-15 9.08928917764e-05
62 4.33704627767e-15 9.08928917764e-05
63 4.33704627767e-15 9.08928917764e-05
64 4.33704627767e-15 9.08928917764e-05
65 4.33704627767e-15 9.08928917764e-05
66 4.33704627767e-15 9.08928917764e-05
67 4.33704627767e-15 9.08928917764e-05
68 4.33704627767e-15 9.08928917764e-05
69 4.33704627767e-15 9.08928917764e-05
70 4.33704627767e-15 9.08928917764e-05
71 4.33704627767e-15 9.08928917764e-05
72 4.33704627767e-15 9.08928917764e-05
73 4.33704627767e-15 9.08928917764e-05
74 4.33704627767e-15 9.08928917764e-05
75 4.33704627767e-15 9.08928917764e-05
76 4.33704627767e-15 9.08928917764e-05
77 4.33704627767e-15 9.08928917764e-05
78 4.33704627767e-15 9.08928917764e-05
79 4.33704627767e-15 9.08928917764e-05
80 4.33704627767e-15 9.08928917764e-05
81 4.33704627767e-15 9.08928917764e-05
82 4.33704627767e-15 9.08928917764e-05
83 4.33704627767e-15 9.08928917764e-05
84 4.33704627767e-15 9.08928917764e-05
85 4.33704627767e-15 9.08928917764e-05
