#diff_E diff_E1_nin diff_E2_nin
-2.0 -2.0 2134.02253865
-2.0 -1.92 1819.52306307
-2.0 -1.84 1551.52460765
-2.0 -1.76 1323.15176313
-2.0 -1.68 1128.54570185
-2.0 -1.6 962.713871474
-2.0 -1.52 821.401912789
-2.0 -1.44 700.984515546
-2.0 -1.3599999999999999 598.372412365
-2.0 -1.28 510.933124633
-2.0 -1.2 436.423427154
-2.0 -1.12 372.931798976
-2.0 -1.04 318.829383969
-2.0 -0.96 272.728203073
-2.0 -0.8799999999999999 233.445546167
-2.0 -0.8 199.973630048
-2.0 -0.72 171.453744088
-2.0 -0.6399999999999999 147.154220312
-2.0 -0.56 126.451662699
-2.0 -0.48 108.814954174
-2.0 -0.3999999999999999 93.7916309769
-2.0 -0.32000000000000006 80.9962748598
-2.0 -0.24 70.1006253122
-2.0 -0.15999999999999992 60.8251581501
-2.0 -0.08000000000000007 52.9319144174
-2.0 0.0 46.2183956303
-2.0 0.08000000000000007 40.5123687471
-2.0 0.16000000000000014 35.6674475884
-2.0 0.2400000000000002 31.5593373494
-2.0 0.31999999999999984 28.0826458588
-2.0 0.3999999999999999 25.1481797786
-2.0 0.48 22.6806563794
-2.0 0.56 20.6167721875
-2.0 0.6400000000000001 18.9035789557
-2.0 0.7200000000000002 17.4971252943
-2.0 0.8000000000000003 16.3613291127
-2.0 0.8799999999999999 15.4670519461
-2.0 0.96 14.7913514181
-2.0 1.04 14.3168926612
-2.0 1.12 14.0315035974
-2.0 1.2000000000000002 13.9278626673
-2.0 1.2800000000000002 14.0033109981
-2.0 1.3599999999999999 14.259784191
-2.0 1.44 14.7038619787
-2.0 1.52 15.3469370257
-2.0 1.6 16.2055072037
-2.0 1.6800000000000002 17.3015988387
-2.0 1.7600000000000002 18.6633317888
-2.0 1.8399999999999999 20.3256408499
-2.0 1.92 22.3311719957
-1.92 -2.0 1818.60465275
-1.92 -1.92 1550.59228512
-1.92 -1.84 1322.20748466
-1.92 -1.76 1127.59111699
-1.92 -1.68 961.750365371
-1.92 -1.6 820.430641714
-1.92 -1.52 700.006436562
-1.92 -1.44 597.388307882
-1.92 -1.3599999999999999 509.943622477
-1.92 -1.28 435.429016678
-1.92 -1.2 371.93284361
-1.92 -1.12 317.826130546
-1.92 -1.04 271.72078816
-1.92 -0.96 232.433999571
-1.92 -0.8799999999999999 198.957875577
-1.92 -0.8 170.4335976
-1.92 -0.72 146.129384988
-1.92 -0.6399999999999999 125.421721431
-1.92 -0.56 107.779358862
-1.92 -0.48 92.7496884681
-1.92 -0.3999999999999999 79.9471291665
-1.92 -0.32000000000000006 69.0432356516
-1.92 -0.24 59.7582722429
-1.92 -0.15999999999999992 51.8540363615
-1.92 -0.08000000000000007 45.1277475237
-1.92 0.0 39.4068450765
-1.92 0.08000000000000007 34.544561213
-1.92 0.16000000000000014 30.416155694
-1.92 0.2400000000000002 26.9157156799
-1.92 0.31999999999999984 23.9534385723
-1.92 0.3999999999999999 21.4533281594
-1.92 0.48 19.3512449585
-1.92 0.56 17.5932607401
-1.92 0.6400000000000001 16.1342750168
-1.92 0.7200000000000002 14.936858006
-1.92 0.8000000000000003 13.9702903813
-1.92 0.8799999999999999 13.2097751792
-1.92 0.96 12.6358016406
-1.92 1.04 12.2336446697
-1.92 1.12 11.9929870661
-1.92 1.2000000000000002 11.9076548408
-1.92 1.2800000000000002 11.9754588245
-1.92 1.3599999999999999 12.1981385055
-1.92 1.44 12.5814066552
-1.92 1.52 13.1350958877
-1.92 1.6 13.8734109119
-1.92 1.6800000000000002 14.8152929488
-1.92 1.7600000000000002 15.9849056617
-1.92 1.8399999999999999 17.412255067
-1.92 1.92 19.1339593284
-1.84 -2.0 1549.82326497
-1.84 -1.92 1321.42459713
-1.84 -1.84 1126.7963263
-1.84 -1.76 960.945330367
-1.84 -1.68 819.616758428
-1.84 -1.6 699.184874028
-1.84 -1.52 596.560038125
-1.84 -1.44 509.109445451
-1.84 -1.3599999999999999 434.589580787
-1.84 -1.28 371.088662346
-1.84 -1.2 316.977595658
-1.84 -1.12 270.868179706
-1.84 -1.04 231.577493104
-1.84 -0.96 198.097546648
-1.84 -0.8799999999999999 169.569423695
-1.84 -0.8 145.261244953
-1.84 -0.72 124.549392361
-1.84 -0.6399999999999999 106.902510383
-1.84 -0.56 91.8678742648
-1.84 -0.48 79.0597755276
-1.84 -0.3999999999999999 68.1496267538
-1.84 -0.32000000000000006 58.8575317867
-1.84 -0.24 50.9451050895
-1.84 -0.15999999999999992 44.2093560459
-1.84 -0.08000000000000007 38.4774813047
-1.84 0.0 33.6024315683
-1.84 0.08000000000000007 29.4591390936
-1.84 0.16000000000000014 25.9413091209
-1.84 0.2400000000000002 22.9586929186
-1.84 0.31999999999999984 20.4347724823
-1.84 0.3999999999999999 18.3047974912
-1.84 0.48 16.5141241614
-1.84 0.56 15.0168133775
-1.84 0.6400000000000001 13.7744521404
-1.84 0.7200000000000002 12.755168095
-1.84 0.8000000000000003 11.9328118559
-1.84 0.8799999999999999 11.2862861532
-1.84 0.96 10.79900459
-1.84 1.04 10.4584661234
-1.84 1.12 10.2559343548
-1.84 1.2000000000000002 10.1862134007
-1.84 1.2800000000000002 10.2475145937
-1.84 1.3599999999999999 10.4414105949
-1.84 1.44 10.7728757405
-1.84 1.52 11.2504136559
-1.84 1.6 11.886275414
-1.84 1.6800000000000002 12.6967738321
-1.84 1.7600000000000002 13.7027019713
-1.84 1.8399999999999999 14.9298665762
-1.84 1.92 16.4097501373
-1.76 -2.0 1320.7828802
-1.76 -1.92 1126.14078002
