0.0  -12.3519 -12.3068  0.0 0.0
0.01  -12.1919053331 -12.1851  0.0 0.0
0.02  -12.0319426598 -12.0446  0.0 0.0
0.03  -11.8720439482 -11.8488  0.0 0.0
0.04  -11.712241115 -11.659  0.0 0.0
0.05  -11.5525660007 -11.5352  0.0 0.0
0.06  -11.3930503435 -11.3494  0.0 0.0
0.07  -11.2337257549 -11.151  0.0 0.0
0.08  -11.0746236942 -10.9872  0.0 0.0
0.09  -10.915775444 -10.8064  0.0 0.0
0.1  -10.757212086 -10.6584  0.0 0.0
0.11  -10.5989644766 -10.4937  0.0 0.0
0.12  -10.4410632234 -10.3172  0.0 0.0
0.13  -10.2835386623 -10.0672  0.0 0.0
0.14  -10.1264208339 -9.9242  0.0 0.0
0.15  -9.96973946202 -9.7587  0.0 0.0
0.16  -9.81352393122 -9.5615  0.0 0.0
0.17  -9.65780326603 -9.3689  0.0 0.0
0.18  -9.50260611003 -9.1851  0.0 0.0
0.19  -9.34796070591 -8.985  0.0 0.0
0.2  -9.19389487599 -8.7723  0.0 0.0
0.21  -9.04043600349 -8.6174  0.0 0.0
0.22  -8.88761101447 -8.4554  0.0 0.0
0.23  -8.73544636042 -8.2649  0.0 0.0
0.24  -8.58396800164 -8.0657  0.0 0.0
0.25  -8.43320139125 -7.8905  0.0 0.0
0.26  -8.28317145998 -7.6738  0.0 0.0
0.27  -8.13390260171 -7.4899  0.0 0.0
0.28  -7.98541865962 -7.2979  0.0 0.0
0.29  -7.83774291316 -7.1195  0.0 0.0
0.3  -7.69089806557 -6.9284  0.0 0.0
0.31  -7.54490623217 -6.7648  0.0 0.0
0.32  -7.39978892913 -6.5751  0.0 0.0
0.33  -7.25556706288 -6.4246  0.0 0.0
0.34  -7.11226091997 -6.2136  0.0 0.0
0.35  -6.96989015734 -6.0906  0.0 0.0
0.36  -6.82847379296 -5.8838  0.0 0.0
0.37  -6.68803019672 -5.6685  0.0 0.0
0.38  -6.54857708152 -5.5415  0.0 0.0
0.39  -6.41013149434 -5.3954  0.0 0.0
0.4  -6.27270980735 -5.1951  0.0 0.0
0.41  -6.13632770891 -5.0626  0.0 0.0
0.42  -6.00100019421 -4.9069  0.0 0.0
0.43  -5.86674155568 -4.7118  0.0 0.0
0.44  -5.73356537295 -4.5772  0.0 0.0
0.45  -5.60148450227 -4.436  0.0 0.0
0.46  -5.47051106535 -4.2641  0.0 0.0
0.47  -5.34065643764 -4.1257  0.0 0.0
0.48  -5.21193123587 -3.9912  0.0 0.0
0.49  -5.08434530498 -3.8657  0.0 0.0
0.5  -4.95790770443 -3.7161  0.0 0.0
0.51  -4.83262669391 -3.5711  0.0 0.0
0.52  -4.70850971854 -3.4087  0.0 0.0
0.53  -4.58556339376 -3.3128  0.0 0.0
0.54  -4.46379348991 -3.1478  0.0 0.0
0.55  -4.3432049169 -3.0603  0.0 0.0
0.56  -4.22380170896 -2.9151  0.0 0.0
0.57  -4.10558700992 -2.8135  0.0 0.0
0.58  -3.98856305919 -2.6897  0.0 0.0
0.59  -3.87273117883 -2.5622  0.0 0.0
0.6  -3.75809176191 -2.494  0.0 0.0
0.61  -3.64464426277 -2.3994  0.0 0.0
0.62  -3.53238718922 -2.2548  0.0 0.0
0.63  -3.42131809732 -2.1184  0.0 0.0
0.64  -3.31143358902 -2.0635  0.0 0.0
0.65  -3.20272931298 -1.9551  0.0 0.0
0.66  -3.09519996898 -1.8643  0.0 0.0
0.67  -2.98883931635 -1.76  0.0 0.0
0.68  -2.88364018648 -1.6914  0.0 0.0
0.69  -2.7795945 -1.6184  0.0 0.0
0.7  -2.67669328865 -1.4867  0.0 0.0
0.71  -2.5749267221 -1.434  0.0 0.0
0.72  -2.47428413996 -1.3674  0.0 0.0
0.73  -2.37475408891 -1.2665  0.0 0.0
0.74  -2.2763243652 -1.2155  0.0 0.0
0.75  -2.17898206225 -1.1325  0.0 0.0
0.76  -2.08271362353 -1.072  0.0 0.0
0.77  -1.98750490038 -0.9982  0.0 0.0
0.78  -1.89334121471 -0.936  0.0 0.0
0.79  -1.80020742613 -0.8924  0.0 0.0
0.8  -1.70808800343 -0.8051  0.0 0.0
0.81  -1.61696709976 -0.7558  0.0 0.0
0.82  -1.5268286313 -0.6904  0.0 0.0
0.83  -1.43765635876 -0.6289  0.0 0.0
0.84  -1.34943397123 -0.576  0.0 0.0
0.85  -1.2621451718 -0.531  0.0 0.0
0.86  -1.17577376435 -0.4845  0.0 0.0
0.87  -1.09030374079 -0.431  0.0 0.0
0.88  -1.00571936813 -0.3993  0.0 0.0
0.89  -0.922005274719 -0.3533  0.0 0.0
0.9  -0.839146534826 -0.3073  0.0 0.0
0.91  -0.757128751019 -0.2468  0.0 0.0
0.92  -0.675938133529 -0.196  0.0 0.0
0.93  -0.595561575954 -0.1814  0.0 0.0
0.94  -0.515986726649 -0.1486  0.0 0.0
0.95  -0.437202055131 -0.1047  0.0 0.0
0.96  -0.359196912935 -0.0668000000001  0.0 0.0
0.97  -0.281961588328 -0.0311000000001  0.0 0.0
0.98  -0.205487354385 0.00169999999991  0.0 0.0
0.99  -0.129766509973 0.0238999999999  0.0 0.0
1.0  -0.0547924132371 0.0735999999999  0.0 0.0
1.01  0.0194404927421 0.0847999999999  0.0 0.0
1.02  0.0929366623693 0.1417  0.0 0.0
1.03  0.165699438232 0.1442  0.0 0.0
1.04  0.237731050176 0.1736  0.0 0.0
1.05  0.309032622803 0.1939  0.0 0.0
1.06  0.379604191319 0.2271  0.0 0.0
1.07  0.449444725631 0.245  0.0 0.0
1.08  0.518552162466 0.2758  0.0 0.0
1.09  0.586923445235 0.2957  0.0 0.0
1.1  0.654554571278 0.2971  0.0 0.0
1.11  0.721440646069 0.3262  0.0 0.0
1.12  0.787575943872 0.3526  0.0 0.0
1.13  0.852953974309 0.3541  0.0 0.0
1.14  0.917567554214 0.3922  0.0 0.0
1.15  0.981408884136 0.3951  0.0 0.0
1.16  1.04446962878 0.4149  0.0 0.0
1.17  1.10674100067 0.4476  0.0 0.0
1.18  1.16821384629 0.4688  0.0 0.0
1.19  1.22887873399 0.4691  0.0 0.0
1.2  1.28872604275 0.4846  0.0 0.0
1.21  1.34774605124 0.5095  0.0 0.0
1.22  1.40592902634 0.5109  0.0 0.0
1.23  1.46326531034 0.5177  0.0 0.0
1.24  1.51974540626 0.535  0.0 0.0
1.25  1.57536006056 0.5477  0.0 0.0
1.26  1.63010034262 0.5572  0.0 0.0
1.27  1.68395772054 0.574  0.0 0.0
1.28  1.73692413258 0.5893  0.0 0.0
1.29  1.78899205398 0.5923  0.0 0.0
1.3  1.84015455866 0.6  0.0 0.0
1.31  1.89040537553 0.619  0.0 0.0
1.32  1.93973893913 0.6284  0.0 0.0
1.33  1.98815043446 0.6376  0.0 0.0
1.34  2.03563583577 0.6273  0.0 0.0
1.35  2.08219193939 0.6362  0.0 0.0
1.36  2.12781639049 0.6377  0.0 0.0
1.37  2.17250770382 0.663  0.0 0.0
1.38  2.21626527862 0.6596  0.0 0.0
1.39  2.25908940778 0.6609  0.0 0.0
1.4  2.30098128145 0.6842  0.0 0.0
1.41  2.34194298539 0.6835  0.0 0.0
1.42  2.38197749425 0.6889  0.0 0.0
1.43  2.42108866018 0.701  0.0 0.0
1.44  2.45928119697 0.7082  0.0 0.0
1.45  2.49656066021 0.7094  0.0 0.0
1.46  2.53293342367 0.7152  0.0 0.0
1.47  2.56840665238 0.7286  0.0 0.0
1.48  2.60298827275 0.7099  0.0 0.0
1.49  2.63668694 0.7324  0.0 0.0
1.5  2.66951200351 0.7326  0.0 0.0
1.51  2.70147347009 0.7297  0.0 0.0
1.52  2.73258196592 0.7424  0.0 0.0
1.53  2.76284869712 0.7478  0.0 0.0
1.54  2.79228540954 0.7433  0.0 0.0
1.55  2.82090434796 0.7497  0.0 0.0
1.56  2.848718215 0.7528  0.0 0.0
1.57  2.87574012993 0.7574  0.0 0.0
1.58  2.90198358786 0.7711  0.0 0.0
1.59  2.92746241919 0.7658  0.0 0.0
1.6  2.95219074984 0.7759  0.0 0.0
1.61  2.97618296224 0.7784  0.0 0.0
1.62  2.99945365731 0.7801  0.0 0.0
1.63  3.02201761761 0.779  0.0 0.0
1.64  3.04388977169 0.7763  0.0 0.0
1.65  3.06508515977 0.79  0.0 0.0
1.66  3.08561890095 0.78  0.0 0.0
1.67  3.10550616183 0.7818  0.0 0.0
1.68  3.1247621267 0.7848  0.0 0.0
1.69  3.14340196932 0.7867  0.0 0.0
1.7  3.16144082635 0.794  0.0 0.0
1.71  3.17889377233 0.8037  0.0 0.0
1.72  3.19577579635 0.8021  0.0 0.0
1.73  3.21210178026 0.7926  0.0 0.0
1.74  3.22788647854 0.793  0.0 0.0
1.75  3.24314449966 0.8055  0.0 0.0
1.76  3.25789028903 0.8011  0.0 0.0
1.77  3.27213811341 0.8155  0.0 0.0
1.78  3.28590204674 0.802  0.0 0.0
1.79  3.29919595739 0.8145  0.0 0.0
1.8  3.31203349676 0.7993  0.0 0.0
1.81  3.32442808908 0.8108  0.0 0.0
1.82  3.33639292258 0.8043  0.0 0.0
1.83  3.34794094166 0.8149  0.0 0.0
1.84  3.35908484032 0.8108  0.0 0.0
1.85  3.36983705649 0.8136  0.0 0.0
1.86  3.38020976747 0.8095  0.0 0.0
1.87  3.39021488622 0.8098  0.0 0.0
1.88  3.39986405853 0.8207  0.0 0.0
1.89  3.40916866103 0.8194  0.0 0.0
1.9  3.41813979995 0.8229  0.0 0.0
1.91  3.42678831049 0.8108  0.0 0.0
1.92  3.43512475699 0.8189  0.0 0.0
1.93  3.44315943357 0.8288  0.0 0.0
1.94  3.45090236536 0.8173  0.0 0.0
1.95  3.45836331022 0.8207  0.0 0.0
1.96  3.46555176097 0.8298  0.0 0.0
1.97  3.47247694791 0.8318  0.0 0.0
1.98  3.47914784185 0.8286  0.0 0.0
1.99  3.48557315736 0.8312  0.0 0.0
2.0  3.4917613564 0.8243  0.0 0.0
2.01  3.49772065215 0.8201  0.0 0.0
2.02  3.50345901312 0.8164  0.0 0.0
2.03  3.5089841674 0.8252  0.0 0.0
2.04  3.51430360716 0.8255  0.0 0.0
2.05  3.51942459326 0.8255  0.0 0.0
2.06  3.52435415993 0.8263  0.0 0.0
2.07  3.52909911965 0.825  0.0 0.0
2.08  3.53366606803 0.824  0.0 0.0
2.09  3.53806138879 0.8264  0.0 0.0
2.1  3.54229125876 0.824  0.0 0.0
2.11  3.54636165293 0.8388  0.0 0.0
2.12  3.55027834947 0.8387  0.0 0.0
2.13  3.55404693481 0.8427  0.0 0.0
2.14  3.55767280864 0.8308  0.0 0.0
2.15  3.56116118892 0.8418  0.0 0.0
2.16  3.56451711686 0.8263  0.0 0.0
2.17  3.56774546183 0.8363  0.0 0.0
2.18  3.57085092623 0.8385  0.0 0.0
2.19  3.57383805032 0.8404  0.0 0.0
2.2  3.57671121692 0.8424  0.0 0.0
2.21  3.57947465612 0.8361  0.0 0.0
2.22  3.58213244987 0.8354  0.0 0.0
2.23  3.58468853648 0.8335  0.0 0.0
2.24  3.58714671504 0.8296  0.0 0.0
2.25  3.58951064979 0.8267  0.0 0.0
2.26  3.59178387435 0.8379  0.0 0.0
2.27  3.59396979589 0.8332  0.0 0.0
2.28  3.59607169917 0.8363  0.0 0.0
2.29  3.59809275056 0.8331  0.0 0.0
2.3  3.60003600186 0.843  0.0 0.0
2.31  3.60190439411 0.8276  0.0 0.0
2.32  3.60370076128 0.8437  0.0 0.0
2.33  3.60542783382 0.8466  0.0 0.0
2.34  3.60708824219 0.8296  0.0 0.0
2.35  3.60868452023 0.8468  0.0 0.0
2.36  3.61021910847 0.8384  0.0 0.0
2.37  3.61169435734 0.8329  0.0 0.0
2.38  3.61311253027 0.8405  0.0 0.0
2.39  3.61447580673 0.8432  0.0 0.0
2.4  3.61578628516 0.8327  0.0 0.0
2.41  3.61704598583 0.8311  0.0 0.0
2.42  3.61825685353 0.836  0.0 0.0
2.43  3.61942076036 0.8444  0.0 0.0
2.44  3.62053950819 0.8529  0.0 0.0
2.45  3.62161483129 0.8387  0.0 0.0
2.46  3.62264839864 0.8397  0.0 0.0
2.47  3.62364181638 0.8475  0.0 0.0
2.48  3.62459663002 0.8422  0.0 0.0
2.49  3.62551432667 0.8447  0.0 0.0
2.5  3.62639633713 0.8263  0.0 0.0
2.51  3.62724403799 0.8442  0.0 0.0
2.52  3.62805875357 0.8395  0.0 0.0
2.53  3.62884175787 0.8498  0.0 0.0
2.54  3.62959427642 0.8425  0.0 0.0
2.55  3.63031748804 0.8403  0.0 0.0
2.56  3.63101252661 0.8409  0.0 0.0
2.57  3.6316804827 0.8278  0.0 0.0
2.58  3.63232240519 0.8356  0.0 0.0
2.59  3.63293930285 0.8473  0.0 0.0
2.6  3.63353214578 0.8425  0.0 0.0
2.61  3.63410186693 0.8295  0.0 0.0
2.62  3.63464936341 0.8316  0.0 0.0
2.63  3.63517549792 0.8444  0.0 0.0
2.64  3.63568109998 0.842  0.0 0.0
2.65  3.6361669672 0.8427  0.0 0.0
2.66  3.63663386649 0.8476  0.0 0.0
2.67  3.63708253523 0.8271  0.0 0.0
2.68  3.63751368236 0.8505  0.0 0.0
2.69  3.63792798947 0.8284  0.0 0.0
2.7  3.63832611185 0.8344  0.0 0.0
2.71  3.63870867948 0.8331  0.0 0.0
2.72  3.63907629799 0.8384  0.0 0.0
2.73  3.63942954958 0.847  0.0 0.0
2.74  3.63976899394 0.8321  0.0 0.0
2.75  3.64009516909 0.8279  0.0 0.0
2.76  3.6404085922 0.8341  0.0 0.0
2.77  3.64070976043 0.8405  0.0 0.0
2.78  3.64099915163 0.8432  0.0 0.0
2.79  3.64127722514 0.8404  0.0 0.0
2.8  3.64154442246 0.8384  0.0 0.0
2.81  3.64180116798 0.8481  0.0 0.0
2.82  3.64204786957 0.8428  0.0 0.0
2.83  3.64228491929 0.8416  0.0 0.0
2.84  3.64251269395 0.8383  0.0 0.0
2.85  3.64273155571 0.8455  0.0 0.0
2.86  3.64294185265 0.8427  0.0 0.0
2.87  3.64314391929 0.8372  0.0 0.0
2.88  3.64333807717 0.8462  0.0 0.0
2.89  3.64352463529 0.8331  0.0 0.0
2.9  3.64370389061 0.843  0.0 0.0
2.91  3.64387612854 0.8403  0.0 0.0
2.92  3.64404162338 0.8499  0.0 0.0
2.93  3.64420063871 0.837  0.0 0.0
2.94  3.64435342787 0.8296  0.0 0.0
2.95  3.64450023429 0.8378  0.0 0.0
2.96  3.64464129194 0.8403  0.0 0.0
2.97  3.64477682565 0.8418  0.0 0.0
2.98  3.64490705147 0.8436  0.0 0.0
2.99  3.64503217704 0.8418  0.0 0.0
