0.0  0.0237544670067 0.0234595  0.0 0.0
0.1  0.0927651804154 0.092782  0.690107134087 0.693225
0.2  0.185860981946 0.1857465  0.930958015303 0.929645
0.3  0.303349637821 0.302131  1.17488655875 1.163845
0.4  0.377603920742 0.3749675  0.74254282921 0.728365
0.5  0.476107703993 0.470976  0.985037832517 0.960085
0.6  0.594421178197 0.5840335  1.18313474203 1.130575
0.7  0.69656611028 0.672855  1.02144932084 0.888215000001
0.8  0.77164960872 0.7570455  0.750834984396 0.841905
0.9  0.915558216094 0.903246  1.43908607374 1.462005
1.0  1.01524760394 0.9790525  0.99689387846 0.758065000001
1.1  1.0698064628 1.0495025  0.545588588597 0.7045
1.2  1.18162054943 1.15271  1.11814086632 1.032075
1.3  1.2221103851 1.2400325  0.404898356709 0.873225
1.4  1.3258351309 1.3112665  1.037247458 0.71234
1.5  1.3491129917 1.3348765  0.232778607993 0.2361
1.6  1.3578531215 1.3710215  0.0874012980367 0.36145
1.7  1.50266073606 1.551987  1.44807614558 1.809655
1.8  1.55977457647 1.7031015  0.571138404095 1.511145
1.9  1.65630118743 1.8209665  0.965266109624 1.17865
2.0  1.68176690962 1.8041155  0.254657221848 -0.16851
2.1  1.67650344482 1.6955515  -0.0526346479523 -1.08564
2.2  1.70953791855 1.804411  0.330344737253 1.088595
2.3  1.76713062832 1.8722615  0.575927097741 0.678505
2.4  1.93633782098 1.856332  1.6920719266 -0.159295
2.5  2.02837404157 1.9660665  0.920362205909 1.097345
2.6  2.04737668331 1.990263  0.19002641736 0.241965
2.7  2.06786236391 2.0319065  0.204856805992 0.416435
2.8  2.24398568365 1.994763  1.76123319744 -0.371435
2.9  2.14120403148 2.0366715  -1.02781652171 0.419085
